Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;291;250,615774152988;305;2020-04-26T13:00:00
Baden;133;90,9694055525537;306;2020-04-26T13:00:00
Bludenz;250;392,378441158929;801;2020-04-26T13:00:00
Braunau am Inn;126;120,680407631599;404;2020-04-26T13:00:00
Bregenz;258;191,98856998281;802;2020-04-26T13:00:00
Bruck an der Leitha;75;73,5222037055191;307;2020-04-26T13:00:00
Bruck-Mürzzuschlag;51;51,5234785419866;621;2020-04-26T13:00:00
Deutschlandsberg;46;75,6317719208826;603;2020-04-26T13:00:00
Dornbirn;150;168,461719881852;803;2020-04-26T13:00:00
Eferding;53;159,850404150078;405;2020-04-26T13:00:00
Eisenstadt(Stadt);16;109,312017489923;101;2020-04-26T13:00:00
Eisenstadt-Umgebung;23;53,5793323549281;103;2020-04-26T13:00:00
Feldkirch;210;195,97047378195;804;2020-04-26T13:00:00
Feldkirchen;15;50,1052209640244;210;2020-04-26T13:00:00
Freistadt;117;175,620299905435;406;2020-04-26T13:00:00
Gänserndorf;85;81,9782805778987;308;2020-04-26T13:00:00
Gmünd;13;35,352024583254;309;2020-04-26T13:00:00
Gmunden;69;67,8926705434366;407;2020-04-26T13:00:00
Graz(Stadt);462;159,968975713801;601;2020-04-26T13:00:00
Graz-Umgebung;212;137,430312459484;606;2020-04-26T13:00:00
Grieskirchen;74;114,336923100694;408;2020-04-26T13:00:00
Güssing;24;93,0340737295034;104;2020-04-26T13:00:00
Hallein;66;109,31858084606;502;2020-04-26T13:00:00
Hartberg-Fürstenfeld;308;339,873319944384;622;2020-04-26T13:00:00
Hermagor;5;27,4363476733977;203;2020-04-26T13:00:00
Hollabrunn;30;58,9877698690471;310;2020-04-26T13:00:00
Horn;44;141,524605982631;311;2020-04-26T13:00:00
Imst;286;476,222192620221;702;2020-04-26T13:00:00
Innsbruck-Land;383;213,587035322723;703;2020-04-26T13:00:00
Innsbruck-Stadt;401;303,53493301037;701;2020-04-26T13:00:00
Jennersdorf;9;52,7364350169929;105;2020-04-26T13:00:00
Kirchdorf an der Krems;42;73,8578412408117;409;2020-04-26T13:00:00
Kitzbühel;360;563,547846777602;704;2020-04-26T13:00:00
Klagenfurt Land;43;71,9063545150502;204;2020-04-26T13:00:00
Klagenfurt Stadt;87;86,2949700943293;201;2020-04-26T13:00:00
Korneuburg;155;170,537688829231;312;2020-04-26T13:00:00
Krems an der Donau(Stadt);38;152,757678083293;301;2020-04-26T13:00:00
Krems(Land);144;254,434942398756;313;2020-04-26T13:00:00
Kufstein;512;466,804033478602;705;2020-04-26T13:00:00
Landeck;982;2213,60623957441;706;2020-04-26T13:00:00
Leibnitz;181;219,436496775132;610;2020-04-26T13:00:00
Leoben;23;38,2950382950383;611;2020-04-26T13:00:00
Lienz;150;307,673373946219;707;2020-04-26T13:00:00
Liezen (inkl. Gröbming);86;107,633196080149;612;2020-04-26T13:00:00
Lilienfeld;40;154,966682163335;314;2020-04-26T13:00:00
Linz(Stadt);300;145,825029408048;401;2020-04-26T13:00:00
Linz-Land;201;133,756563055239;410;2020-04-26T13:00:00
Mattersburg;43;107,701941139637;106;2020-04-26T13:00:00
Melk;168;215,489597496216;315;2020-04-26T13:00:00
Mistelbach;126;166,925002980804;316;2020-04-26T13:00:00
Mödling;164;137,817442309955;317;2020-04-26T13:00:00
Murau;6;21,6927582342095;614;2020-04-26T13:00:00
Murtal;32;44,4419754458086;620;2020-04-26T13:00:00
Neunkirchen;177;205,119885040155;318;2020-04-26T13:00:00
Neusiedl am See;55;92,3562600752284;107;2020-04-26T13:00:00
Oberpullendorf;21;55,98059339429;108;2020-04-26T13:00:00
Oberwart;124;229,306901398032;109;2020-04-26T13:00:00
Perg;251;366,642808104121;411;2020-04-26T13:00:00
Reutte;57;174,471992653811;708;2020-04-26T13:00:00
Ried im Innkreis;43;70,2568459577805;412;2020-04-26T13:00:00
Rohrbach;148;261,835680418937;413;2020-04-26T13:00:00
Salzburg(Stadt);141;91,433166246247;501;2020-04-26T13:00:00
Salzburg-Umgebung;197;129,366106080207;503;2020-04-26T13:00:00
Sankt Johann im Pongau;433;537,400866295161;504;2020-04-26T13:00:00
Sankt Pölten(Land);264;201,459051921492;319;2020-04-26T13:00:00
Sankt Pölten(Stadt);84;152,605188576412;302;2020-04-26T13:00:00
Sankt Veit an der Glan;50;91,6506278068005;205;2020-04-26T13:00:00
Schärding;55;95,9743137836564;414;2020-04-26T13:00:00
Scheibbs;101;243,943675579064;320;2020-04-26T13:00:00
Schwaz;342;407,759350446508;709;2020-04-26T13:00:00
Spittal an der Drau;41;53,8828507970719;206;2020-04-26T13:00:00
Steyr(Stadt);61;159,715131044956;402;2020-04-26T13:00:00
Steyr-Land;180;297,880086716203;415;2020-04-26T13:00:00
Südoststeiermark;59;68,6469568454978;623;2020-04-26T13:00:00
Tamsweg;22;108,267716535433;505;2020-04-26T13:00:00
Tulln;154;148,40369660117;321;2020-04-26T13:00:00
Urfahr-Umgebung;280;327,466230045027;416;2020-04-26T13:00:00
Villach Land;48;74,2252737056968;207;2020-04-26T13:00:00
Villach Stadt;20;32,1321273074884;202;2020-04-26T13:00:00
Vöcklabruck;107;78,5303809824371;417;2020-04-26T13:00:00
Voitsberg;99;193,506772737046;616;2020-04-26T13:00:00
Völkermarkt;53;126,558097330341;208;2020-04-26T13:00:00
Waidhofen an der Thaya;71;274,258343634116;322;2020-04-26T13:00:00
Waidhofen an der Ybbs(Stadt);23;204,244738477933;303;2020-04-26T13:00:00
Weiz;158;174,88903401481;617;2020-04-26T13:00:00
Wels(Stadt);57;92,3420869311646;403;2020-04-26T13:00:00
Wels-Land;76;103,975702520043;418;2020-04-26T13:00:00
Wien(Stadt);2350;123,847754745609;900;2020-04-26T13:00:00
Wiener Neustadt(Land);70;89,7539459681245;323;2020-04-26T13:00:00
Wiener Neustadt(Stadt);39;86,1364489696755;304;2020-04-26T13:00:00
Wolfsberg;42;79,6570951712628;209;2020-04-26T13:00:00
Zell am See;353;403,603850815211;506;2020-04-26T13:00:00
Zwettl;71;168,158779783052;325;2020-04-26T13:00:00
