Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;5616;1.91;7320;2.49;294436;1
Kärnten;13548;2.41;17886;3.19;561293;2
Niederösterreich;29213;1.73;45022;2.67;1684287;3
Oberösterreich;37540;2.52;47278;3.17;1490279;4
Salzburg;12456;2.23;15091;2.70;558410;5
Steiermark;30989;2.49;57479;4.61;1246395;6
Tirol;16997;2.24;19596;2.59;757634;7
Vorarlberg;11894;2.99;16601;4.18;397139;8
Wien;50191;2.63;63007;3.30;1911191;9
Österreich;208444;2.34;289280;3.25;8901064;10
Stand;2021-01-28 18:00;2021-01-28 18:00;2021-01-28 18:00;2021-01-28 18:00;2020-01-01 00:00;