Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;5807;1.97;7998;2.72;294436;1
Kärnten;13133;2.34;18743;3.34;561293;2
Niederösterreich;32160;1.91;48814;2.90;1684287;3
Oberösterreich;37630;2.53;48838;3.28;1490279;4
Salzburg;12787;2.29;17761;3.18;558410;5
Steiermark;31423;2.52;57425;4.61;1246395;6
Tirol;16997;2.24;25374;3.35;757634;7
Vorarlberg;13355;3.36;16601;4.18;397139;8
Wien;51433;2.69;63397;3.32;1911191;9
Österreich;214725;2.41;304951;3.43;8901064;10
Stand;2021-01-31 18:00;2021-01-31 18:00;2021-01-31 18:00;2021-01-31 18:00;2020-01-01 00:00;